---------------------------------------------------------------------------------------------------
Date: 3/2/2026 -- 18:49:26 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 61190
decoder.bytes                                                | Total                     | 4700379
decoder.invalid                                              | Total                     | 57149
decoder.ipv4                                                 | Total                     | 3967
decoder.ethernet                                             | Total                     | 61190
decoder.arp                                                  | Total                     | 3
decoder.unknown_ethertype                                    | Total                     | 57220
decoder.tcp                                                  | Total                     | 3952
decoder.udp                                                  | Total                     | 15
decoder.vlan                                                 | Total                     | 57149
decoder.avg_pkt_size                                         | Total                     | 76
decoder.max_pkt_size                                         | Total                     | 1082
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ethernet.unknown_ethertype                     | Total                     | 57220
decoder.event.vlan.unknown_type                              | Total                     | 57149
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.dhcp                                            | Total                     | 13
flow.end.state.new                                           | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 3/2/2026 -- 18:52:51 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 61190
decoder.bytes                                                | Total                     | 4700379
decoder.invalid                                              | Total                     | 57149
decoder.ipv4                                                 | Total                     | 3967
decoder.ethernet                                             | Total                     | 61190
decoder.arp                                                  | Total                     | 3
decoder.unknown_ethertype                                    | Total                     | 57220
decoder.tcp                                                  | Total                     | 3952
decoder.udp                                                  | Total                     | 15
decoder.vlan                                                 | Total                     | 57149
decoder.avg_pkt_size                                         | Total                     | 76
decoder.max_pkt_size                                         | Total                     | 1082
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ethernet.unknown_ethertype                     | Total                     | 57220
decoder.event.vlan.unknown_type                              | Total                     | 57149
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.dhcp                                            | Total                     | 13
flow.end.state.new                                           | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 3/2/2026 -- 18:54:34 (uptime: 0d, 00h 00m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 61190
decoder.bytes                                                | Total                     | 4700379
decoder.invalid                                              | Total                     | 57149
decoder.ipv4                                                 | Total                     | 3967
decoder.ethernet                                             | Total                     | 61190
decoder.arp                                                  | Total                     | 3
decoder.unknown_ethertype                                    | Total                     | 57220
decoder.tcp                                                  | Total                     | 3952
decoder.udp                                                  | Total                     | 15
decoder.vlan                                                 | Total                     | 57149
decoder.avg_pkt_size                                         | Total                     | 76
decoder.max_pkt_size                                         | Total                     | 1082
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ethernet.unknown_ethertype                     | Total                     | 57220
decoder.event.vlan.unknown_type                              | Total                     | 57149
detect.alert                                                 | Total                     | 114369
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.dhcp                                            | Total                     | 13
flow.end.state.new                                           | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10000
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
